timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/23 21:33:18.136, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.35 W, 35
2026/09/23 21:33:23.146, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.08 W, 35
2026/09/23 21:33:28.148, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.19 W, 35
2026/09/23 21:33:33.163, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.39 W, 34
2026/09/23 21:33:38.169, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.05 W, 34
2026/09/23 21:33:43.184, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.27 W, 34
2026/09/23 21:33:48.194, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.21 W, 34
2026/09/23 21:33:53.208, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.27 W, 33
2026/09/23 21:33:58.209, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.15 W, 33
2026/09/23 21:34:03.214, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.09 W, 33
2026/09/23 21:34:08.228, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 18.05 W, 33
2026/09/23 21:34:13.238, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.30 W, 33
2026/09/23 21:34:18.242, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.49 W, 34
2026/09/23 21:34:23.255, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.23 W, 33
2026/09/23 21:34:28.266, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.19 W, 33
2026/09/23 21:34:33.273, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.34 W, 33
2026/09/23 21:34:38.288, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.13 W, 33
2026/09/23 21:34:43.300, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.23 W, 33
2026/09/23 21:34:48.312, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.19 W, 33
2026/09/23 21:34:53.315, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.13 W, 33
2026/09/23 21:34:58.322, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.34 W, 33
2026/09/23 21:35:03.329, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.45 W, 33
2026/09/23 21:35:08.336, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.17 W, 33
2026/09/23 21:35:13.352, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.44 W, 33
2026/09/23 21:35:18.363, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.46 W, 33
2026/09/23 21:35:23.376, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.12 W, 33
2026/09/23 21:35:28.385, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.28 W, 33
2026/09/23 21:35:33.392, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.33 W, 33
2026/09/23 21:35:38.396, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.36 W, 33
2026/09/23 21:35:43.408, NVIDIA GeForce RTX 5090, 32607 MiB, 30768 MiB, 1420 MiB, 0 %, 13.35 W, 33
